latest-trik-image-langs-trikboard.sdimg; 64; 3; 0; 2; normal; 64; bt4; 0; 674; 65; 128,8; 4,5; 4:07
latest-trik-image-langs-trikboard.sdimg; 64; 3; 0; 2; normal; 273; bt4; 512; 674; 65; 128,9; 3,7; 5:06

latest-trik-image-langs-trikboard.sdimg; 128; 3; 0; 2; normal; 64; bt4; 0; 1346; 129; 127,7; 4,5; 4:12

latest-trik-image-langs-trikboard.sdimg; 128; 3; 0; 2; normal; 273; bt4; 512; 1346; 129; 127,8; 3,7; 5:03

latest-trik-image-langs-trikboard.sdimg; 256; 3; 0; 2; normal; 64; bt4; 0; 2690; 257; 125,3; 4,3; 4:23

latest-trik-image-langs-trikboard.sdimg; 256; 3; 0; 2; normal; 273; bt4; 512; 2690; 257; 125,5; 3,5; 5:20

latest-trik-image-langs-trikboard.sdimg; 512; 3; 0; 2; normal; 64; bt4; 0; 5378; 513; 124,7; 4,1; 4:34

latest-trik-image-langs-trikboard.sdimg; 512; 3; 0; 2; normal; 273; bt4; 512; 5378; 513; 124,8; 3,4; 5:33

raspbian-jessie.img; 64; 3; 0; 2; normal; 64; bt4; 0; 674; 65; 995,6; 3,1; 21:00

raspbian-jessie.img; 64; 3; 0; 2; normal; 273; bt4; 512; 674; 65; 994,4; 2,5; 26:43

raspbian-jessie.img; 128; 3; 0; 2; normal; 64; bt4; 0; 1346; 129; 988,1; 3,0; 22:10

raspbian-jessie.img; 128; 3; 0; 2; normal; 273; bt4; 512; 1346; 129; 986,8; 2,4; 27:52

raspbian-jessie.img; 256; 3; 0; 2; normal; 64; bt4; 0; 2690; 257; 985,0; 2,8; 23:39

raspbian-jessie.img; 256; 3; 0; 2; normal; 273; bt4; 512; 2690; 257; 983,6; 2,2; 29:39

raspbian-jessie.img; 512; 3; 0; 2; normal; 64; bt4; 0; 5378; 513; 980,4; 2,6; 25:18

raspbian-jessie.img; 512; 3; 0; 2; normal; 273; bt4; 512; 5378; 513; 978,9; 2,1; 31:13

RPi2.ffu; 64; 3; 0; 2; normal; 64; bt4; 0; 674; 65; 357,8; 2,9; 6:31

RPi2.ffu; 64; 3; 0; 2; normal; 273; bt4; 512; 674; 65; 357,5; 2,5; 7:33

RPi2.ffu; 128; 3; 0; 2; normal; 64; bt4; 0; 1346; 129; 353,3; 2,8; 6:56

RPi2.ffu; 128; 3; 0; 2; normal; 273; bt4; 512; 1346; 129; 352,9; 2,4; 8:03

RPi2.ffu; 256; 3; 0; 2; normal; 64; bt4; 0; 2690; 257; 349,1; 2,5; 7:34

RPi2.ffu; 256; 3; 0; 2; normal; 273; bt4; 512; 2690; 257; 348,8; 2,2; 8:36

RPi2.ffu; 512; 3; 0; 2; normal; 64; bt4; 0; 5378; 513; 342,9; 2,4; 7:53

RPi2.ffu; 512; 3; 0; 2; normal; 273; bt4; 512; 5378; 513; 342,3; 2,1; 9:09

MinnowBoardMax.ffu; 64; 3; 0; 2; normal; 64; bt4; 0; 674; 65; 391,2; 2,6; 7:28

MinnowBoardMax.ffu; 64; 3; 0; 2; normal; 273; bt4; 512; 674; 65; 390,7; 2,3; 8:31

MinnowBoardMax.ffu; 128; 3; 0; 2; normal; 64; bt4; 0; 1346; 129; 387,4; 2,4; 8:02

MinnowBoardMax.ffu; 128; 3; 0; 2; normal; 273; bt4; 512; 1346; 129; 387,2; 2,1; 9:09

MinnowBoardMax.ffu; 256; 3; 0; 2; normal; 64; bt4; 0; 2690; 257; 383,0; 2,2; 8:48

MinnowBoardMax.ffu; 256; 3; 0; 2; normal; 273; bt4; 512; 2690; 257; 382,6; 1,9; 9:54

MinnowBoardMax.ffu; 512; 3; 0; 2; normal; 64; bt4; 0; 5378; 513; 374,9; 2,1; 9:23

MinnowBoardMax.ffu; 512; 3; 0; 2; normal; 273; bt4; 512; 5378; 513; 374,4; 1,8; 10:36

; ; ; ; ; 

; ; ; ; ; 
